time,detected_lv[0]x,detected_lv[0]y,detected_lv[0]z,detected_lv[1]x,detected_lv[1]y,detected_lv[1]z,detected_lv[2]x,detected_lv[2]y,detected_lv[2]z,detected_lv[3]x,detected_lv[3]y,detected_lv[3]z,detected_cv[0]x,detected_cv[0]y,detected_cv[0]z,detected_cv[1]x,detected_cv[1]y,detected_cv[1]z,detected_cv[2]x,detected_cv[2]y,detected_cv[2]z,detected_cv[3]x,detected_cv[3]y,detected_cv[3]z,cam_2d_detected_centers[0]x,cam_2d_detected_centers[0]y,cam_2d_detected_centers[1]x,cam_2d_detected_centers[1]y,cam_2d_detected_centers[2]x,cam_2d_detected_centers[2]y,cam_2d_detected_centers[3]x,cam_2d_detected_centers[3]y,
2021-09-11.19:27:56,3.4017,0.14793,0.462355,3.37832,-0.151064,0.454881,3.38563,-0.14414,0.15505,3.40901,0.154854,0.162524,3.44043,0.175437,0.39711,3.40969,-0.121686,0.390416,3.42706,-0.115733,0.0909969,3.4578,0.18139,0.0976912,318.724,210.75,360.739,211.199,359.808,253.802,318.015,252.977,0
2021-09-11.19:30:09,3.39641,0.0786148,0.460073,3.25175,-0.184189,0.457307,3.25906,-0.185053,0.157397,3.40372,0.077751,0.160164,3.41703,0.103617,0.393653,3.2635,-0.157865,0.392185,3.29128,-0.1622,0.0935555,3.44481,0.0992815,0.0950237,328.743,210.859,366.886,208.452,367.327,252.895,329.471,253.302,1
2021-09-11.19:31:53,3.26659,0.179058,0.457483,3.41301,-0.0827834,0.458023,3.41654,-0.0814251,0.158047,3.27012,0.180417,0.157507,3.29548,0.208218,0.391848,3.43825,-0.052135,0.392531,3.44916,-0.048003,0.0927821,3.30639,0.21235,0.0920984,312.816,209.067,350.791,211.36,350.186,253.634,312.312,253.171,2
2021-09-11.19:33:51,3.31102,-0.634639,0.46542,3.30578,-0.934591,0.464256,3.31151,-0.933528,0.164313,3.31675,-0.633576,0.165477,3.3326,-0.618913,0.406566,3.32493,-0.916119,0.405916,3.33156,-0.914841,0.106001,3.33924,-0.617634,0.106651,433.456,207.568,476.986,207.526,476.535,251.249,433.088,251.192,3
2021-09-11.19:35:45,3.35366,-0.700902,0.467425,3.17625,-0.942812,0.465573,3.1839,-0.946128,0.165689,3.36131,-0.704218,0.167541,3.36991,-0.687718,0.407998,3.18644,-0.926208,0.4059,3.19911,-0.931183,0.106649,3.38258,-0.692693,0.108747,442.329,208.003,484.325,204.957,484.519,250.515,442.696,251.09,4
2021-09-11.19:41:06,3.32682,1.08326,0.383546,3.33327,0.783332,0.382527,3.34215,0.784541,0.0826611,3.3357,1.08447,0.0836799,3.35286,1.12561,0.309729,3.35476,0.825249,0.311622,3.37052,0.824879,0.0121703,3.36861,1.12524,0.0102772,180.722,221.916,224.211,221.668,224.817,264.914,181.537,265.187,6
2021-09-11.19:47:25,3.37182,1.10781,0.383848,3.25982,0.829504,0.383201,3.26992,0.826136,0.0833907,3.38192,1.10444,0.0840368,3.37953,1.14419,0.307004,3.26696,0.865388,0.309791,3.29589,0.862978,0.0119084,3.40845,1.14178,0.00912115,179.346,222.661,215.055,220.731,216.532,264.914,181.078,265.369,7
2021-09-11.19:54:50,3.24373,1.05551,0.382908,3.39275,0.795148,0.380725,3.39831,0.800844,0.0808302,3.24929,1.06121,0.0830139,3.2661,1.09873,0.309631,3.40883,0.839293,0.31111,3.40534,0.838327,0.0113683,3.2626,1.09777,0.0098896,180.386,220.742,224.106,222.455,224.119,265.048,180.358,265.196,8
2021-09-11.19:57:57,4.01984,0.279463,0.393834,4.00792,-0.0202888,0.391241,4.01727,-0.0180665,0.091395,4.02919,0.281685,0.0939884,4.04074,0.307662,0.32508,4.02302,0.00856225,0.326515,4.04158,0.00683277,0.0271042,4.0593,0.305933,0.0256699,306.536,227.694,342.409,227.349,342.621,263.415,306.912,263.601,9
2021-09-11.20:02:26,3.89982,0.196861,0.393615,4.08039,-0.0427064,0.392894,4.08518,-0.0381945,0.0929666,3.90461,0.201373,0.0936872,3.92095,0.229665,0.328236,4.09865,-0.01041,0.327661,4.08572,-0.00661478,0.0279766,3.90802,0.233461,0.0285521,315.051,226.113,344.671,227.939,344.226,263.347,314.486,263.126,10
2021-09-11.20:06:38,4.04291,0.26611,0.394631,3.85611,0.0314379,0.388754,3.8686,0.0290058,0.0890238,4.0554,0.263677,0.0949008,4.04981,0.299702,0.325188,3.86048,0.0629115,0.326105,3.89238,0.0540936,0.0279462,4.0817,0.290884,0.0270292,307.572,227.767,335.542,225.745,336.705,263.186,308.899,263.456,11
2021-09-11.20:12:38,3.87847,1.48249,0.374067,3.79119,1.19547,0.373774,3.80002,1.19309,0.0739135,3.88729,1.48011,0.0742065,3.8721,1.51377,0.29488,3.77165,1.22281,0.296766,3.79693,1.22167,-0.000456151,3.89738,1.51262,-0.00234219,153.956,229.774,186.299,228.549,187.491,266.722,155.358,266.921,13
2021-09-11.20:18:19,3.89733,1.36657,0.376985,3.89952,1.06658,0.375872,3.90695,1.06775,0.0759665,3.90477,1.36774,0.077079,3.91277,1.40547,0.299322,3.91148,1.10529,0.301632,3.92385,1.10389,0.00189528,3.92515,1.40407,-0.000414654,169.34,229.608,206.48,229.309,207.084,266.431,170.063,266.715,12
2021-09-11.20:21:23,3.71182,1.37484,0.378144,3.86915,1.11943,0.374693,3.87177,1.12509,0.0747578,3.71444,1.38051,0.0782088,3.72689,1.41543,0.30128,3.88849,1.16373,0.300687,3.88035,1.16271,0.000808864,3.71875,1.41441,0.0014021,159.361,227.505,198.385,229.206,198.209,266.563,159.092,266.482,14
2021-09-11.20:27:10,3.91152,-0.78408,0.412262,3.90638,-1.08404,0.412395,3.91423,-1.0843,0.112498,3.91937,-0.784348,0.112364,3.75912,-0.730941,0.333901,3.75682,-1.01711,0.336034,3.75354,-1.01493,0.0491777,3.75584,-0.728764,0.0470446,437.685,223.637,474.664,223.336,474.455,260.287,437.413,260.586,15
2021-09-11.20:30:09,4.03671,-0.873248,0.41179,3.88062,-1.12943,0.414145,3.88796,-1.13666,0.114322,4.04405,-0.880476,0.111967,3.40044,-0.719999,0.294609,3.37762,-0.962998,0.304652,3.26109,-0.932922,0.04387,3.4974,-0.741679,0.0449155,445.847,224.71,481.209,223.246,481.723,260.108,445.818,260.328,16
2021-09-11.20:34:11,3.83798,-0.902884,0.41501,3.99204,-1.1603,0.415629,3.99553,-1.15893,0.115653,3.84147,-0.901517,0.115033,3.8376,-0.88004,0.351821,3.81251,-1.08528,0.333075,4.01574,-1.13819,0.0516973,3.66377,-0.835592,0.0505453,454.59,222.253,481.51,224.2,480.817,260.431,453.978,259.986,17
2021-09-11.20:36:30,4.57219,-0.0125303,0.397332,4.58127,-0.312392,0.396481,4.58982,-0.311281,0.0966046,4.58074,-0.0114199,0.0974563,4.64626,0.0157918,0.329121,4.6131,-0.281853,0.330934,4.63003,-0.284167,0.0316475,4.66319,0.0134779,0.0298339,341.792,232.346,373.054,231.913,373.188,263.353,342.04,263.565,18
2021-09-11.20:41:57,4.53113,0.279031,0.393216,4.35253,0.037991,0.392932,4.36198,0.0313389,0.0931545,4.54059,0.272379,0.0934391,4.54544,0.309962,0.321146,4.38971,0.0701099,0.322945,4.43103,0.0613092,0.0260311,4.58676,0.301162,0.0242319,310.389,232.44,335.699,231.03,336.734,263.818,311.616,264.105,19
